timestamp,price,volume,market_cap
1557273600000,3.2699771961339086,6703686.104207669,0.0
1557360000000,3.308074565927089,10600884.577320728,0.0
1557446400000,3.0821654302850994,33710121.66526043,0.0
1557532800000,3.036929884275017,885232.4999113342,0.0
1557619200000,2.7759001072054463,942632.8888776248,0.0
1557705600000,2.542384983272884,1301589.2002250461,0.0
1557792000000,2.534265593053488,34820288.09153446,0.0
1557878400000,2.52254390723583,94857128.31385276,0.0
1557964800000,2.5272076536804366,32995695.058725353,0.0
1558051200000,2.502664641259557,64089491.40589057,0.0
1558137600000,2.3611831862999466,7113818.721728071,0.0
1558224000000,2.3804342367377007,471148.785538611,0.0
1558310400000,2.4170810288844704,880709.2289430579,0.0
1558396800000,2.3765984639950517,2910317.195512153,0.0
1558483200000,2.4784212636952225,11457607.05018788,0.0
1558569600000,2.311059170653423,17426081.16749751,0.0
1558656000000,1.9616672699956184,48101782.819416165,0.0
1558742400000,1.1603295470835766,16003575.671402778,0.0
1558828800000,1.1978613601194164,2735388.281405201,0.0
1558915200000,1.2259683103279415,2279616.3631034154,0.0
1559001600000,1.2169254041628965,1492132.3333496687,0.0
1559088000000,1.477070689901528,2730881.1274704416,0.0
1559174400000,1.7572693658314642,3808182.776471076,0.0
1559260800000,1.6676734326477676,1975054.9926676801,0.0
1559347200000,1.6729046637789666,944346.2340328032,0.0
1559433600000,1.6476723159089937,411080.0042942087,0.0
1559520000000,1.7192787323582213,393766.2232495397,0.0
1559606400000,1.532508528079019,1418223.1134326158,0.0
1559692800000,1.5096808176234209,1928251.014969543,0.0
1559779200000,1.627105461506912,2738783.013454359,0.0
1559865600000,1.6003809259229993,361413.37794729683,0.0
1559952000000,1.7125265758877692,1628345.059102616,0.0
1560038400000,1.7064789135096643,562811.027824358,0.0
1560124800000,1.6991583468756104,308667.1284926026,0.0
1560211200000,1.8535165399366227,1800218.9068177487,0.0
1560297600000,1.7407907969434395,2382493.6222838876,0.0
1560384000000,1.7360580948385473,998608.2962437699,0.0
1560470400000,1.6715008724871325,2247950.813671782,0.0
1560556800000,1.6339704898541894,1192013.245523542,0.0
1560643200000,1.586629308513413,1025244.4968894958,0.0
1560729600000,1.5764353092609262,572221.9086752374,0.0
1560816000000,1.5645844478610678,859629.6922677173,0.0
1560902400000,1.573795468178742,1226183.3576188218,0.0
1560988800000,1.5646492825727991,819133.2950458501,0.0
1561075200000,1.551450044889391,1365475.5691211529,0.0
1561161600000,1.7209445311904885,2254456.4231562633,0.0
1561248000000,1.673723688083375,1020850.2051621842,0.0
1561334400000,1.6571032729789537,847529.6934119504,0.0
1561420800000,1.7898125900710233,1505108.1902640732,0.0
1561507200000,1.7192603535176103,592219.3812625747,0.0
1561593600000,1.7021284789656486,561017.2657029943,0.0
1561680000000,1.579593918831176,622315.1823939912,0.0
1561766400000,1.6438352797409659,302083.84022164263,0.0
1561852800000,1.6394694590515038,127577.44165216305,0.0
1561939200000,1.5901579805439845,162837.7312362881,0.0
1562025600000,1.569062718814477,325098.387458516,0.0
1562112000000,1.5464980089981382,201781.8661772032,0.0
1562198400000,1.5453348132609839,595416.8844047524,0.0
1562284800000,1.6064149579201212,1037214.2257895649,0.0
1562371200000,1.6134986968761305,1121387.6590688583,0.0
1562457600000,1.5915747036700427,477556.1079251053,0.0
1562544000000,1.6216469458508243,2544886.703076636,0.0
1562630400000,1.581550461702444,418279.92161554843,0.0
1562716800000,1.5624123850062726,418573.25032250385,0.0
1562803200000,1.5503974888563885,484082.4918123599,0.0
1562889600000,1.5158664471306793,362881.30528134404,0.0
1562976000000,1.5229833051046835,256961.1578530347,0.0
1563062400000,1.5574277486613155,199459.33411659955,0.0
1563148800000,1.4866422647198445,219777.0991543138,0.0
1563235200000,1.534640254600455,395306.7080063206,0.0
1563321600000,1.4389045743672986,257447.8386832981,0.0
1563408000000,1.4094544959804507,163950.3017121815,0.0
1563494400000,1.4329975753349125,182651.66904894667,0.0
1563580800000,1.3894604861854345,375264.44901197084,0.0
1563667200000,1.3953825746528277,111871.26478715107,0.0
1563753600000,1.4005066533651849,349393.9099380035,0.0
1563840000000,1.3578113214285885,253929.64281226252,0.0
1563926400000,1.3767211353416742,449874.02696568123,0.0
1564012800000,1.317336150834745,211963.23969025933,0.0
1564099200000,1.3328986893215653,373376.65023626364,0.0
1564185600000,1.325733119143132,9911328.24537654,0.0
1564272000000,1.3002701528939704,5456141.106379525,0.0
1564358400000,1.2519434079137637,1474548.2175790365,0.0
1564444800000,1.2936835874287995,3685063.655654915,0.0
1564531200000,1.2882817081977767,1480511.73675225,0.0
1564617600000,1.2935625463928262,972621.6862156994,0.0
1564704000000,1.2760102188554436,732616.8537763377,0.0
1564790400000,1.2752718817132107,759214.4442176325,0.0
1564876800000,1.2554148633114985,393668.1945180519,0.0
1564963200000,1.2430460721111802,383922.02417052,0.0
1565049600000,1.171078000793286,1163681.536389402,0.0
1565136000000,1.1492178589445927,3432553.2763873083,0.0
1565222400000,1.1093650276412894,1454401.6803843419,0.0
1565308800000,1.195265485937306,2108093.5747328717,0.0
1565395200000,1.2128613323410098,2102429.2318120673,0.0
1565481600000,1.13408803976034,358544.2244627863,0.0
1565568000000,1.2756060223590109,1017144.2496762897,0.0
1565654400000,1.281558993565012,881316.3325871791,0.0
1565740800000,1.3946244116442255,1948866.5586001943,0.0
1565827200000,1.3015477379846545,1743168.9842324653,0.0
1565913600000,1.3153152789022002,942863.9904231549,0.0
1566000000000,1.296908241710094,1134264.296997364,0.0
1566086400000,1.3108811152448567,787359.8894894483,0.0
1566172800000,1.2832495769251766,499192.20247034804,0.0
1566259200000,1.3139008112727084,1943565.2289895597,0.0
